authored_date,committed_date,before_or_after,id_issue
2020-10-11T12:25:38Z,2020-10-11T12:25:38Z,before,732267627
2020-10-11T11:28:19Z,2020-10-11T11:28:19Z,before,732267627
2020-10-11T11:22:50Z,2020-10-11T11:28:01Z,before,732267627
2020-10-10T19:58:45Z,2020-10-10T19:58:45Z,before,732267627
2020-10-10T14:48:10Z,2020-10-10T15:10:16Z,before,732267627
2020-10-10T12:46:02Z,2020-10-10T12:46:02Z,before,732267627
2020-10-09T19:34:07Z,2020-10-09T20:01:55Z,before,732267627
2020-10-09T18:48:54Z,2020-10-09T20:01:55Z,before,732267627
2020-10-09T01:41:20Z,2020-10-09T14:29:53Z,before,732267627
2020-10-09T13:05:37Z,2020-10-09T13:05:37Z,before,732267627
2020-10-09T11:35:09Z,2020-10-09T11:45:40Z,before,732267627
2020-10-08T21:10:22Z,2020-10-09T11:45:39Z,before,732267627
2020-10-08T20:07:06Z,2020-10-09T11:45:39Z,before,732267627
2020-10-09T01:14:33Z,2020-10-09T01:26:01Z,before,732267627
2020-10-08T21:12:40Z,2020-10-08T21:12:40Z,before,732267627
2020-10-08T20:53:06Z,2020-10-08T20:53:06Z,before,732267627
2020-10-08T20:52:46Z,2020-10-08T20:52:46Z,before,732267627
2020-10-08T20:49:41Z,2020-10-08T20:49:49Z,before,732267627
2020-10-08T19:55:25Z,2020-10-08T19:55:25Z,before,732267627
2020-10-08T19:54:30Z,2020-10-08T19:54:30Z,before,732267627
2020-10-08T19:52:32Z,2020-10-08T19:52:32Z,before,732267627
2020-10-08T19:47:47Z,2020-10-08T19:47:47Z,before,732267627
2020-10-08T18:55:33Z,2020-10-08T18:55:33Z,before,732267627
2020-10-08T18:54:13Z,2020-10-08T18:54:19Z,before,732267627
2020-10-08T18:44:58Z,2020-10-08T18:54:19Z,before,732267627
2020-10-08T15:45:21Z,2020-10-08T15:45:21Z,before,732267627
2020-10-08T15:04:53Z,2020-10-08T15:04:53Z,before,732267627
2020-10-08T14:57:45Z,2020-10-08T14:57:45Z,before,732267627
2020-10-08T14:24:43Z,2020-10-08T14:24:43Z,before,732267627
2020-10-08T13:17:03Z,2020-10-08T13:17:03Z,before,732267627
2020-10-07T19:30:51Z,2020-10-07T19:30:51Z,before,732267627
2020-10-07T19:29:38Z,2020-10-07T19:29:38Z,before,732267627
2020-10-07T19:14:47Z,2020-10-07T19:14:47Z,before,732267627
2020-10-07T19:11:34Z,2020-10-07T19:12:33Z,before,732267627
2020-10-07T18:58:42Z,2020-10-07T19:11:40Z,before,732267627
2020-10-07T17:52:47Z,2020-10-07T17:52:47Z,before,732267627
2020-10-07T17:48:45Z,2020-10-07T17:48:45Z,before,732267627
2020-10-07T13:51:00Z,2020-10-07T13:51:00Z,before,732267627
2020-10-07T13:43:15Z,2020-10-07T13:43:15Z,before,732267627
2020-10-07T13:36:51Z,2020-10-07T13:37:36Z,before,732267627
2020-10-07T13:30:22Z,2020-10-07T13:30:22Z,before,732267627
2020-10-07T13:23:13Z,2020-10-07T13:27:06Z,before,732267627
2020-10-07T01:26:18Z,2020-10-07T12:17:21Z,before,732267627
2020-10-07T01:25:18Z,2020-10-07T12:16:54Z,before,732267627
2020-10-07T02:40:27Z,2020-10-07T12:13:37Z,before,732267627
2020-10-06T13:43:52Z,2020-10-06T13:43:52Z,before,732267627
2020-10-06T04:43:28Z,2020-10-06T12:06:33Z,before,732267627
2020-10-05T21:42:46Z,2020-10-05T21:42:46Z,before,732267627
2020-10-05T21:18:29Z,2020-10-05T21:18:29Z,before,732267627
2020-10-05T21:16:29Z,2020-10-05T21:16:29Z,before,732267627
2020-10-05T18:06:37Z,2020-10-05T18:06:37Z,before,732267627
2020-10-05T18:04:59Z,2020-10-05T18:04:59Z,before,732267627
2020-10-05T17:54:16Z,2020-10-05T17:54:16Z,before,732267627
2020-10-05T17:29:16Z,2020-10-05T17:29:16Z,before,732267627
2020-10-05T17:09:34Z,2020-10-05T17:09:34Z,before,732267627
2020-10-05T17:06:06Z,2020-10-05T17:06:06Z,before,732267627
2020-10-05T17:02:59Z,2020-10-05T17:02:59Z,before,732267627
2020-10-05T15:40:25Z,2020-10-05T15:58:37Z,before,732267627
2020-10-05T15:02:50Z,2020-10-05T15:02:50Z,before,732267627
2020-10-05T12:56:28Z,2020-10-05T12:56:28Z,before,732267627
2020-10-05T00:19:38Z,2020-10-05T00:19:38Z,before,732267627
2020-10-05T00:19:22Z,2020-10-05T00:19:22Z,before,732267627
2020-10-04T21:39:14Z,2020-10-04T21:39:14Z,before,732267627
2020-10-04T21:29:34Z,2020-10-04T21:29:34Z,before,732267627
2020-10-04T21:28:55Z,2020-10-04T21:28:55Z,before,732267627
2020-10-04T20:48:27Z,2020-10-04T20:48:27Z,before,732267627
2020-10-04T20:24:20Z,2020-10-04T20:24:20Z,before,732267627
2020-10-04T20:21:53Z,2020-10-04T20:21:53Z,before,732267627
2020-10-04T16:25:51Z,2020-10-04T16:26:01Z,before,732267627
2020-10-04T14:54:38Z,2020-10-04T14:54:38Z,before,732267627
2020-10-04T14:46:33Z,2020-10-04T14:46:33Z,before,732267627
2020-10-04T14:29:27Z,2020-10-04T14:29:27Z,before,732267627
2020-10-04T14:11:39Z,2020-10-04T14:11:39Z,before,732267627
2020-10-04T00:41:23Z,2020-10-04T12:42:02Z,before,732267627
2020-10-03T16:48:21Z,2020-10-03T16:48:27Z,before,732267627
2020-10-03T15:52:39Z,2020-10-03T15:52:39Z,before,732267627
2020-10-03T15:39:04Z,2020-10-03T15:39:04Z,before,732267627
2020-10-03T15:37:30Z,2020-10-03T15:37:30Z,before,732267627
2020-10-03T14:55:50Z,2020-10-03T14:55:50Z,before,732267627
2020-10-03T14:33:12Z,2020-10-03T14:33:32Z,before,732267627
2020-10-02T20:49:03Z,2020-10-03T14:33:31Z,before,732267627
2020-10-03T12:49:41Z,2020-10-03T12:49:41Z,before,732267627
2020-10-03T12:30:30Z,2020-10-03T12:30:30Z,before,732267627
2020-10-03T01:23:02Z,2020-10-03T01:23:02Z,before,732267627
2020-10-03T01:16:43Z,2020-10-03T01:16:43Z,before,732267627
2020-10-03T00:47:18Z,2020-10-03T00:47:18Z,before,732267627
2020-10-02T20:19:51Z,2020-10-02T20:20:42Z,before,732267627
2020-10-02T20:16:14Z,2020-10-02T20:16:30Z,before,732267627
2020-10-02T20:01:09Z,2020-10-02T20:01:09Z,before,732267627
2020-10-02T19:47:04Z,2020-10-02T19:47:04Z,before,732267627
2020-10-02T19:45:25Z,2020-10-02T19:45:25Z,before,732267627
2020-10-02T19:28:04Z,2020-10-02T19:28:04Z,before,732267627
2020-10-02T19:26:29Z,2020-10-02T19:26:35Z,before,732267627
2020-10-02T18:52:07Z,2020-10-02T18:52:07Z,before,732267627
2020-10-02T18:49:50Z,2020-10-02T18:49:50Z,before,732267627
2020-10-02T18:48:09Z,2020-10-02T18:48:09Z,before,732267627
2020-10-02T18:43:28Z,2020-10-02T18:43:28Z,before,732267627
2020-10-02T18:23:22Z,2020-10-02T18:42:01Z,before,732267627
2020-10-02T18:19:46Z,2020-10-02T18:42:00Z,before,732267627
2020-10-02T18:25:21Z,2020-10-02T18:25:21Z,before,732267627
2020-10-02T18:10:31Z,2020-10-02T18:10:31Z,before,732267627
2020-10-02T18:08:01Z,2020-10-02T18:08:01Z,before,732267627
2020-10-02T18:05:44Z,2020-10-02T18:05:44Z,before,732267627
